"","X","Year","Movement_type","Team_previous_season","Team","Players"
"1",1,1920,"Draft","--","Akr",3
"2",2,1920,"Draft","--","Buf",4
"3",3,1920,"Draft","--","Can",2
"4",4,1920,"Draft","--","ChiC",8
"5",5,1920,"Draft","--","ChiT",5
"6",6,1920,"Draft","--","Col",13
"7",7,1920,"Draft","--","Day",9
"8",8,1920,"Draft","--","Dec",5
"9",9,1920,"Draft","--","Det",10
"10",10,1920,"Draft","--","Ham",16
"11",11,1920,"Draft","--","Mun",6
"12",12,1920,"Draft","--","RI",10
"13",13,1920,"Draft","--","Roc",20
"14",14,1920,"Draft","Akron","Akr",1
"15",15,1920,"Draft","Akron","Can",1
"16",16,1920,"Draft","Alfred","Roc",1
"17",17,1920,"Draft","American College of Physical Education","ChiC",1
"18",18,1920,"Draft","Army","Roc",1
"19",19,1920,"Draft","Auburn","Cle",1
"20",20,1920,"Draft","Bethany (WV)","Dec",1
"21",21,1920,"Draft","Bliss College","Col",1
"22",22,1920,"Draft","Brown","Akr",1
"23",23,1920,"Draft","Brown","Buf",1
"24",24,1920,"Draft","Brown","Roc",1
"25",25,1920,"Draft","Bucknell","Can",1
"26",26,1920,"Draft","Carlisle","Can",2
"27",27,1920,"Draft","Carlisle","Col",1
"28",28,1920,"Draft","Carnegie Mellon","Cle",1
"29",29,1920,"Draft","Catholic","Cle",1
"30",30,1920,"Draft","Catholic","Det",1
"31",31,1920,"Draft","Centre (KY)","Can",1
"32",32,1920,"Draft","Chicago","ChiT",2
"33",33,1920,"Draft","Chicago","Ham",1
"34",34,1920,"Draft","Christian Brothers","Col",1
"35",35,1920,"Draft","Christian Brothers","Day",1
"36",36,1920,"Draft","Colgate","Buf",1
"37",37,1920,"Draft","Colgate","Det",1
"38",38,1920,"Draft","Colgate","Ham",1
"39",39,1920,"Draft","Colgate","Roc",3
"40",40,1920,"Draft","Cornell","Buf",1
"41",41,1920,"Draft","Cornell","ChiC",1
"42",42,1920,"Draft","Cornell","Cle",1
"43",43,1920,"Draft","Dartmouth","Buf",2
"44",44,1920,"Draft","Dartmouth","Can",1
"45",45,1920,"Draft","Dartmouth","ChiT",1
"46",46,1920,"Draft","Dartmouth","RI",1
"47",47,1920,"Draft","Dayton","Buf",1
"48",48,1920,"Draft","Dayton","Day",1
"49",49,1920,"Draft","Denison","Col",1
"50",50,1920,"Draft","Denison","Day",3
"51",51,1920,"Draft","DePaul","ChiC",2
"52",52,1920,"Draft","DePauw","Mun",1
"53",53,1920,"Draft","Detroit Mercy","Det",5
"54",54,1920,"Draft","Drake","RI",1
"55",55,1920,"Draft","Eastern Illinois","Dec",1
"56",56,1920,"Draft","Fordham","Akr",1
"57",57,1920,"Draft","Fordham","Can",2
"58",58,1920,"Draft","Franklin (IN)","Det",1
"59",59,1920,"Draft","Geneva (PA)","Ham",1
"60",60,1920,"Draft","Georgetown","Can",4
"61",61,1920,"Draft","Georgetown","ChiC",1
"62",62,1920,"Draft","Georgetown","Cle",1
"63",63,1920,"Draft","Georgia Tech","Can",1
"64",64,1920,"Draft","Hamline","Cle",1
"65",65,1920,"Draft","Harvard","Buf",1
"66",66,1920,"Draft","Harvard","Can",1
"67",67,1920,"Draft","Holy Cross","Cle",1
"68",68,1920,"Draft","Illinois","ChiC",2
"69",69,1920,"Draft","Illinois","ChiT",1
"70",70,1920,"Draft","Illinois","Dec",5
"71",71,1920,"Draft","Illinois","Det",1
"72",72,1920,"Draft","Illinois","Ham",1
"73",73,1920,"Draft","Illinois","RI",1
"74",74,1920,"Draft","Illinois State","Can",1
"75",75,1920,"Draft","Illinois Tech","ChiC",1
"76",76,1920,"Draft","Indiana","Ham",1
"77",77,1920,"Draft","Indiana","Mun",4
"78",78,1920,"Draft","Iowa","RI",4
"79",79,1920,"Draft","Iowa State","ChiT",1
"80",80,1920,"Draft","Lafayette","Buf",2
"81",81,1920,"Draft","Lafayette","Roc",1
"82",82,1920,"Draft","Lehigh","Can",2
"83",83,1920,"Draft","Lehigh","Cle",3
"84",84,1920,"Draft","Louisiana State","RI",1
"85",85,1920,"Draft","Loyola (IL)","ChiC",2
"86",86,1920,"Draft","Marquette","Det",1
"87",87,1920,"Draft","Maryland","Buf",2
"88",88,1920,"Draft","Maryland","Dec",1
"89",89,1920,"Draft","Massachusetts","ChiC",1
"90",90,1920,"Draft","Mercer","Roc",1
"91",91,1920,"Draft","Miami (OH)","Akr",1
"92",92,1920,"Draft","Miami (OH)","Day",3
"93",93,1920,"Draft","Michigan","Buf",2
"94",94,1920,"Draft","Michigan","ChiC",1
"95",95,1920,"Draft","Michigan","ChiT",1
"96",96,1920,"Draft","Michigan","Det",1
"97",97,1920,"Draft","Michigan State","Dec",1
"98",98,1920,"Draft","Michigan State","Det",1
"99",99,1920,"Draft","Millikin","Dec",4
"100",100,1920,"Draft","Minnesota","ChiT",1
"101",101,1920,"Draft","Minnesota","Cle",1
"102",102,1920,"Draft","Minnesota","RI",3
"103",103,1920,"Draft","Missouri-Rolla","Akr",1
"104",104,1920,"Draft","Montana","Det",1
"105",105,1920,"Draft","Morningside College","RI",2
"106",106,1920,"Draft","Navy","RI",1
"107",107,1920,"Draft","Nebraska","Dec",1
"108",108,1920,"Draft","Nebraska","RI",2
"109",109,1920,"Draft","North Carolina","Roc",1
"110",110,1920,"Draft","North Dakota","Ham",2
"111",111,1920,"Draft","Northwestern","ChiC",1
"112",112,1920,"Draft","Northwestern","ChiT",2
"113",113,1920,"Draft","Northwestern","Dec",1
"114",114,1920,"Draft","Northwestern","Ham",1
"115",115,1920,"Draft","Notre Dame","Can",2
"116",116,1920,"Draft","Notre Dame","ChiC",1
"117",117,1920,"Draft","Notre Dame","ChiT",3
"118",118,1920,"Draft","Notre Dame","Cle",3
"119",119,1920,"Draft","Notre Dame","Day",1
"120",120,1920,"Draft","Notre Dame","Dec",2
"121",121,1920,"Draft","Notre Dame","Det",1
"122",122,1920,"Draft","Notre Dame","Ham",1
"123",123,1920,"Draft","Notre Dame","RI",1
"124",124,1920,"Draft","Ohio State","Col",4
"125",125,1920,"Draft","Ohio State","Day",1
"126",126,1920,"Draft","Olivet","Det",1
"127",127,1920,"Draft","Oregon","Buf",1
"128",128,1920,"Draft","Oregon State","Akr",1
"129",129,1920,"Draft","Penn State","Akr",1
"130",130,1920,"Draft","Penn State","Can",1
"131",131,1920,"Draft","Pennsylvania","Buf",3
"132",132,1920,"Draft","Pennsylvania","ChiT",2
"133",133,1920,"Draft","Pennsylvania","Cle",1
"134",134,1920,"Draft","Pennsylvania","Dec",1
"135",135,1920,"Draft","Pennsylvania","Roc",1
"136",136,1920,"Draft","Pittsburgh","Cle",6
"137",137,1920,"Draft","Purdue","Cle",1
"138",138,1920,"Draft","Purdue","Day",2
"139",139,1920,"Draft","Purdue","Ham",1
"140",140,1920,"Draft","Purdue","Mun",2
"141",141,1920,"Draft","Rice","Buf",1
"142",142,1920,"Draft","Rochester","Roc",1
"143",143,1920,"Draft","Rose-Hulman","Mun",1
"144",144,1920,"Draft","Rutgers","Akr",2
"145",145,1920,"Draft","South Dakota","Akr",1
"146",146,1920,"Draft","St. Ambrose","ChiC",1
"147",147,1920,"Draft","St. Ambrose","RI",1
"148",148,1920,"Draft","Swarthmore","Roc",1
"149",149,1920,"Draft","Syracuse","Akr",3
"150",150,1920,"Draft","Syracuse","Det",2
"151",151,1920,"Draft","Syracuse","Roc",3
"152",152,1920,"Draft","Texas","Can",1
"153",153,1920,"Draft","Trinity (CT)","Cle",1
"154",154,1920,"Draft","Truman State","Cle",1
"155",155,1920,"Draft","Tufts","Cle",2
"156",156,1920,"Draft","Ursinus","Buf",1
"157",157,1920,"Draft","Vanderbilt","Det",1
"158",158,1920,"Draft","Villanova","RI",1
"159",159,1920,"Draft","Wabash","Day",1
"160",160,1920,"Draft","Washington (MO)","Dec",1
"161",161,1920,"Draft","Washington & Jefferson","Can",1
"162",162,1920,"Draft","Washington & Jefferson","Cle",1
"163",163,1920,"Draft","Washington & Jefferson","Det",2
"164",164,1920,"Draft","Washington & Lee","Akr",3
"165",165,1920,"Draft","Washington & Lee","ChiT",1
"166",166,1920,"Draft","West Virginia","Akr",3
"167",167,1920,"Draft","West Virginia Wesleyan","Can",2
"168",168,1920,"Draft","William Jewell","Can",1
"169",169,1920,"Draft","Wisconsin","Can",1
"170",170,1920,"Draft","Wisconsin","ChiT",1
"171",171,1920,"Draft","Wisconsin","Det",1
"172",172,1920,"Draft","Wisconsin","RI",1
"173",173,1920,"Draft","Wittenberg","Day",1
"174",174,1920,"Pro","Akr","Cle",2
"175",175,1920,"Pro","Can","Cle",1
"176",176,1920,"Pro","ChiC","Dec",1
"177",177,1920,"Pro","ChiC","Ham",1
"178",178,1920,"Pro","ChiT","Ham",1
"179",179,1920,"Pro","Cle","Buf",2
"180",180,1920,"Pro","Cle","Can",2
"181",181,1920,"Pro","Cle","ChiT",1
"182",182,1920,"Pro","Cle","RI",1
"183",183,1920,"Pro","Ham","Akr",1
"184",184,1920,"Pro","Ham","ChiT",1
"185",185,1920,"Pro","Ham","Det",1
"186",186,1920,"Pro","Mun","Day",3
"187",187,1920,"Pro","Roc","Buf",1
"188",188,1921,"Draft","--","Akr",3
"189",189,1921,"Draft","--","Buf",1
"190",190,1921,"Draft","--","Chi",1
"191",191,1921,"Draft","--","ChiC",2
"192",192,1921,"Draft","--","Cin",4
"193",193,1921,"Draft","--","Cle",2
"194",194,1921,"Draft","--","Col",7
"195",195,1921,"Draft","--","Day",1
"196",196,1921,"Draft","--","Det",1
"197",197,1921,"Draft","--","Eva",5
"198",198,1921,"Draft","--","GB",10
"199",199,1921,"Draft","--","Ham",2
"200",200,1921,"Draft","--","Lou",15
"201",201,1921,"Draft","--","Minn",12
"202",202,1921,"Draft","--","Mun",5
"203",203,1921,"Draft","--","NYBG",2
"204",204,1921,"Draft","--","Roc",2
"205",205,1921,"Draft","--","Ton",8
"206",206,1921,"Draft","--","Was",12
"207",207,1921,"Draft","Akron","Cle",1
"208",208,1921,"Draft","Army","Was",1
"209",209,1921,"Draft","Boston College","Buf",1
"210",210,1921,"Draft","Boston College","NYBG",1
"211",211,1921,"Draft","Boston College","Roc",1
"212",212,1921,"Draft","Brown","Buf",1
"213",213,1921,"Draft","Brown","Can",1
"214",214,1921,"Draft","Campion","Eva",1
"215",215,1921,"Draft","Carroll (WI)","GB",1
"216",216,1921,"Draft","Catholic","Was",1
"217",217,1921,"Draft","Chicago","Eva",1
"218",218,1921,"Draft","Chicago","Ham",1
"219",219,1921,"Draft","Colgate","Can",1
"220",220,1921,"Draft","Colorado State","Akr",1
"221",221,1921,"Draft","Columbia","Can",1
"222",222,1921,"Draft","Columbia","Eva",1
"223",223,1921,"Draft","Dartmouth","Cle",1
"224",224,1921,"Draft","Dartmouth","Mun",1
"225",225,1921,"Draft","Dartmouth","NYBG",1
"226",226,1921,"Draft","Davidson","Was",1
"227",227,1921,"Draft","Davis & Elkins","Col",1
"228",228,1921,"Draft","Dayton","Eva",1
"229",229,1921,"Draft","Denison","Cin",2
"230",230,1921,"Draft","Denison","Day",1
"231",231,1921,"Draft","DePaul","ChiC",1
"232",232,1921,"Draft","DePauw","Eva",1
"233",233,1921,"Draft","Detroit Mercy","Det",2
"234",234,1921,"Draft","Drake","RI",1
"235",235,1921,"Draft","Fordham","NYBG",1
"236",236,1921,"Draft","Fordham","Roc",3
"237",237,1921,"Draft","Franklin (IN)","Mun",1
"238",238,1921,"Draft","Gallaudet","Eva",1
"239",239,1921,"Draft","Georgetown","Roc",1
"240",240,1921,"Draft","Georgetown","Was",5
"241",241,1921,"Draft","Georgetown (KY)","Eva",1
"242",242,1921,"Draft","Grove City","Akr",1
"243",243,1921,"Draft","Grove City","Ham",1
"244",244,1921,"Draft","Harvard","Can",1
"245",245,1921,"Draft","Harvard","ChiC",2
"246",246,1921,"Draft","Harvard","Ham",1
"247",247,1921,"Draft","Haskell Indian","Eva",1
"248",248,1921,"Draft","Holy Cross","NYBG",1
"249",249,1921,"Draft","Illinois","Chi",1
"250",250,1921,"Draft","Illinois","Eva",1
"251",251,1921,"Draft","Illinois","Ham",1
"252",252,1921,"Draft","Indiana","Eva",2
"253",253,1921,"Draft","Indiana","GB",1
"254",254,1921,"Draft","Indiana","Ham",2
"255",255,1921,"Draft","Iowa State","Chi",1
"256",256,1921,"Draft","Iowa State","RI",1
"257",257,1921,"Draft","Jefferson CC (KY)","Lou",1
"258",258,1921,"Draft","Kalamazoo","Eva",1
"259",259,1921,"Draft","Kentucky","Lou",2
"260",260,1921,"Draft","Knox","RI",1
"261",261,1921,"Draft","Lawrence","Eva",1
"262",262,1921,"Draft","Lehigh","NYBG",1
"263",263,1921,"Draft","Lehigh","Was",1
"264",264,1921,"Draft","Marietta","Cin",1
"265",265,1921,"Draft","Marquette","GB",1
"266",266,1921,"Draft","Maryland","Was",1
"267",267,1921,"Draft","Miami (OH)","Cin",4
"268",268,1921,"Draft","Michigan","Buf",1
"269",269,1921,"Draft","Michigan State","Det",1
"270",270,1921,"Draft","Minnesota","Ham",1
"271",271,1921,"Draft","Minnesota","Minn",2
"272",272,1921,"Draft","Missouri","RI",1
"273",273,1921,"Draft","Monmouth (IL)","RI",1
"274",274,1921,"Draft","Morningside College","RI",2
"275",275,1921,"Draft","Navy","NYBG",1
"276",276,1921,"Draft","North Carolina State","Was",2
"277",277,1921,"Draft","Northwestern","ChiC",1
"278",278,1921,"Draft","Notre Dame","ChiC",1
"279",279,1921,"Draft","Notre Dame","Day",1
"280",280,1921,"Draft","Notre Dame","Det",1
"281",281,1921,"Draft","Notre Dame","GB",2
"282",282,1921,"Draft","Notre Dame","RI",3
"283",283,1921,"Draft","Notre Dame","Ton",1
"284",284,1921,"Draft","Ohio","Col",1
"285",285,1921,"Draft","Ohio","Det",1
"286",286,1921,"Draft","Ohio State","Chi",3
"287",287,1921,"Draft","Ohio State","Col",1
"288",288,1921,"Draft","Ohio State","Eva",1
"289",289,1921,"Draft","Ohio Wesleyan","Cin",2
"290",290,1921,"Draft","Penn State","Can",5
"291",291,1921,"Draft","Penn State","Ton",1
"292",292,1921,"Draft","Pennsylvania","Buf",1
"293",293,1921,"Draft","Pennsylvania","Roc",1
"294",294,1921,"Draft","Phillips","Eva",1
"295",295,1921,"Draft","Pittsburgh","Buf",1
"296",296,1921,"Draft","Pittsburgh","Can",1
"297",297,1921,"Draft","Purdue","Can",1
"298",298,1921,"Draft","Purdue","Chi",1
"299",299,1921,"Draft","Purdue","Mun",1
"300",300,1921,"Draft","Ripon","GB",1
"301",301,1921,"Draft","Rose-Hulman","Lou",1
"302",302,1921,"Draft","Rutgers","Akr",1
"303",303,1921,"Draft","Rutgers","Roc",1
"304",304,1921,"Draft","South Dakota","Akr",1
"305",305,1921,"Draft","South Dakota","RI",1
"306",306,1921,"Draft","St. Louis","Eva",1
"307",307,1921,"Draft","Syracuse","Day",1
"308",308,1921,"Draft","Syracuse","Det",1
"309",309,1921,"Draft","Syracuse","Roc",2
"310",310,1921,"Draft","Syracuse","Ton",2
"311",311,1921,"Draft","Tulsa","NYBG",1
"312",312,1921,"Draft","Union (NY)","Ton",1
"313",313,1921,"Draft","Vanderbilt","Det",1
"314",314,1921,"Draft","Vanderbilt","Lou",1
"315",315,1921,"Draft","Wabash","Eva",1
"316",316,1921,"Draft","Washington & Jefferson","Can",1
"317",317,1921,"Draft","Washington & Jefferson","Det",1
"318",318,1921,"Draft","West Virginia","Buf",1
"319",319,1921,"Draft","West Virginia","Lou",1
"320",320,1921,"Draft","West Virginia Wesleyan","Day",1
"321",321,1921,"Draft","Western Maryland","Day",1
"322",322,1921,"Draft","Western Michigan","GB",1
"323",323,1921,"Draft","Williams","Roc",1
"324",324,1921,"Draft","Wisconsin","Chi",1
"325",325,1921,"Draft","Wisconsin","Eva",1
"326",326,1921,"Draft","Wisconsin","NYBG",1
"327",327,1921,"Draft","Wisconsin-Oshkosh","GB",1
"328",328,1921,"Draft","Xavier","Cin",1
"329",329,1921,"Draft","Yale","Can",1
"330",330,1921,"Pro","Akr","Buf",1
"331",331,1921,"Pro","Akr","Cin",1
"332",332,1921,"Pro","Akr","Cle",2
"333",333,1921,"Pro","Akr","Ham",2
"334",334,1921,"Pro","Akr","NYBG",1
"335",335,1921,"Pro","Buf","Can",1
"336",336,1921,"Pro","Buf","ChiC",1
"337",337,1921,"Pro","Buf","Det",1
"338",338,1921,"Pro","Buf","Roc",1
"339",339,1921,"Pro","Buf","Ton",1
"340",340,1921,"Pro","Can","Akr",1
"341",341,1921,"Pro","Can","Cle",7
"342",342,1921,"Pro","Can","Day",2
"343",343,1921,"Pro","Can","GB",1
"344",344,1921,"Pro","Can","Ham",1
"345",345,1921,"Pro","Can","NYBG",4
"346",346,1921,"Pro","Can","Ton",1
"347",347,1921,"Pro","Can","Was",1
"348",348,1921,"Pro","Chi","RI",1
"349",349,1921,"Pro","ChiC","GB",2
"350",350,1921,"Pro","ChiT","ChiC",1
"351",351,1921,"Pro","ChiT","Cin",1
"352",352,1921,"Pro","ChiT","Cle",1
"353",353,1921,"Pro","ChiT","GB",1
"354",354,1921,"Pro","ChiT","Ham",4
"355",355,1921,"Pro","ChiT","RI",1
"356",356,1921,"Pro","Cle","Akr",1
"357",357,1921,"Pro","Cle","Buf",1
"358",358,1921,"Pro","Cle","Day",2
"359",359,1921,"Pro","Cle","NYBG",6
"360",360,1921,"Pro","Cle","Was",2
"361",361,1921,"Pro","Col","Akr",1
"362",362,1921,"Pro","Col","Day",1
"363",363,1921,"Pro","Day","Can",2
"364",364,1921,"Pro","Day","Cin",2
"365",365,1921,"Pro","Day","Cle",1
"366",366,1921,"Pro","Day","Det",1
"367",367,1921,"Pro","Day","Mun",1
"368",368,1921,"Pro","Dec","Chi",8
"369",369,1921,"Pro","Dec","ChiC",2
"370",370,1921,"Pro","Dec","RI",1
"371",371,1921,"Pro","Det","Akr",1
"372",372,1921,"Pro","Det","Buf",5
"373",373,1921,"Pro","Det","GB",1
"374",374,1921,"Pro","Det","RI",1
"375",375,1921,"Pro","Eva","Ham",1
"376",376,1921,"Pro","GB","RI",1
"377",377,1921,"Pro","Ham","Akr",1
"378",378,1921,"Pro","Ham","Can",1
"379",379,1921,"Pro","Ham","Chi",1
"380",380,1921,"Pro","Ham","ChiC",2
"381",381,1921,"Pro","Ham","Cin",1
"382",382,1921,"Pro","Mun","Chi",1
"383",383,1921,"Pro","Mun","Day",1
"384",384,1921,"Pro","NYBG","Cle",1
"385",385,1921,"Pro","NYBG","Was",1
"386",386,1921,"Pro","RI","Det",2
"387",387,1921,"Pro","RI","GB",2
"388",388,1921,"Pro","RI","Minn",2
"389",389,1921,"Pro","RI","NYBG",1
"390",390,1921,"Pro","Roc","Buf",1
"391",391,1921,"Pro","Roc","Can",1
"392",392,1921,"Pro","Roc","Cle",1
"393",393,1921,"Pro","Roc","Ham",1
"394",394,1921,"Pro","Roc","NYBG",3
"395",395,1921,"Pro","Roc","RI",1
"396",396,1921,"Pro","Roc","Was",1
"397",397,1921,"Pro","Ton","NYBG",1
"398",398,1921,"Pro","Was","Cle",1
"399",399,1922,"Draft","--","Buf",3
"400",400,1922,"Draft","--","Col",5
"401",401,1922,"Draft","--","Eva",4
"402",402,1922,"Draft","--","GB",2
"403",403,1922,"Draft","--","Ham",3
"404",404,1922,"Draft","--","Lou",6
"405",405,1922,"Draft","--","Mil",2
"406",406,1922,"Draft","--","Minn",1
"407",407,1922,"Draft","--","Oor",8
"408",408,1922,"Draft","--","Rac",7
"409",409,1922,"Draft","--","Roc",3
"410",410,1922,"Draft","--","Tol",3
"411",411,1922,"Draft","Akron","Akr",1
"412",412,1922,"Draft","Arkansas","Mil",1
"413",413,1922,"Draft","Army","Roc",1
"414",414,1922,"Draft","Beloit","GB",1
"415",415,1922,"Draft","Beloit","Rac",1
"416",416,1922,"Draft","Bethany (WV)","Akr",1
"417",417,1922,"Draft","Bucknell","Can",1
"418",418,1922,"Draft","Bucknell","Roc",1
"419",419,1922,"Draft","Buffalo","Buf",1
"420",420,1922,"Draft","California","Tol",1
"421",421,1922,"Draft","Carlisle","Oor",8
"422",422,1922,"Draft","Carnegie Mellon","Akr",1
"423",423,1922,"Draft","Centre (KY)","Lou",2
"424",424,1922,"Draft","Centre (KY)","Mil",2
"425",425,1922,"Draft","Centre (KY)","Tol",3
"426",426,1922,"Draft","Chicago","ChiC",1
"427",427,1922,"Draft","Chicago","Ham",1
"428",428,1922,"Draft","Chicago","Mil",1
"429",429,1922,"Draft","Cornell","Buf",1
"430",430,1922,"Draft","Cornell","Tol",1
"431",431,1922,"Draft","Dartmouth","Ham",1
"432",432,1922,"Draft","DePauw","Eva",1
"433",433,1922,"Draft","Detroit Mercy","Akr",1
"434",434,1922,"Draft","Detroit Mercy","Day",1
"435",435,1922,"Draft","Detroit Mercy","RI",1
"436",436,1922,"Draft","Detroit Mercy","Tol",1
"437",437,1922,"Draft","Fordham","Mil",1
"438",438,1922,"Draft","Georgetown","Can",1
"439",439,1922,"Draft","Georgia Tech","Ham",1
"440",440,1922,"Draft","Grove City","Can",1
"441",441,1922,"Draft","Hamline","Minn",1
"442",442,1922,"Draft","Haskell Indian","Oor",2
"443",443,1922,"Draft","Howard","Oor",1
"444",444,1922,"Draft","Illinois","Chi",2
"445",445,1922,"Draft","Illinois","ChiC",1
"446",446,1922,"Draft","Illinois","Col",1
"447",447,1922,"Draft","Illinois","Minn",1
"448",448,1922,"Draft","Indiana","ChiC",1
"449",449,1922,"Draft","Iowa","Eva",1
"450",450,1922,"Draft","Iowa","RI",1
"451",451,1922,"Draft","Kalamazoo","RI",1
"452",452,1922,"Draft","Kalamazoo","Tol",1
"453",453,1922,"Draft","Kentucky","Eva",2
"454",454,1922,"Draft","Kentucky","Lou",1
"455",455,1922,"Draft","Lafayette","Can",1
"456",456,1922,"Draft","Lafayette","Mil",1
"457",457,1922,"Draft","Lawrence","GB",1
"458",458,1922,"Draft","Lehigh","Roc",1
"459",459,1922,"Draft","Loras","Rac",2
"460",460,1922,"Draft","Louisville","Lou",2
"461",461,1922,"Draft","Marietta","Akr",1
"462",462,1922,"Draft","Marietta","Tol",1
"463",463,1922,"Draft","Marquette","Chi",1
"464",464,1922,"Draft","Marquette","GB",4
"465",465,1922,"Draft","Marquette","Rac",7
"466",466,1922,"Draft","Maryland","Akr",1
"467",467,1922,"Draft","Michigan","Akr",1
"468",468,1922,"Draft","Michigan","Buf",1
"469",469,1922,"Draft","Michigan","GB",1
"470",470,1922,"Draft","Michigan","Ham",1
"471",471,1922,"Draft","Minnesota","GB",1
"472",472,1922,"Draft","Minnesota","Ham",1
"473",473,1922,"Draft","Minnesota","Minn",1
"474",474,1922,"Draft","Montana","Mil",1
"475",475,1922,"Draft","Navy","Can",1
"476",476,1922,"Draft","Nebraska","Can",1
"477",477,1922,"Draft","Notre Dame","Chi",3
"478",478,1922,"Draft","Notre Dame","ChiC",1
"479",479,1922,"Draft","Notre Dame","Col",1
"480",480,1922,"Draft","Notre Dame","GB",1
"481",481,1922,"Draft","Notre Dame","Minn",1
"482",482,1922,"Draft","Notre Dame","Rac",1
"483",483,1922,"Draft","Notre Dame","Roc",2
"484",484,1922,"Draft","Notre Dame","Tol",1
"485",485,1922,"Draft","Ohio State","Akr",1
"486",486,1922,"Draft","Ohio State","Col",2
"487",487,1922,"Draft","Ohio State","Eva",1
"488",488,1922,"Draft","Ohio State","Tol",1
"489",489,1922,"Draft","Oregon","Mil",1
"490",490,1922,"Draft","Otterbein","Lou",1
"491",491,1922,"Draft","Penn State","Day",1
"492",492,1922,"Draft","Penn State","GB",1
"493",493,1922,"Draft","Pennsylvania","Buf",1
"494",494,1922,"Draft","Purdue","Can",1
"495",495,1922,"Draft","Purdue","Ham",1
"496",496,1922,"Draft","Ripon","Rac",1
"497",497,1922,"Draft","Sherman Indian","Oor",1
"498",498,1922,"Draft","St. Thomas (MN)","Minn",2
"499",499,1922,"Draft","Syracuse","Mil",1
"500",500,1922,"Draft","Syracuse","Roc",5
"501",501,1922,"Draft","Texas","Tol",1
"502",502,1922,"Draft","Texas A&M","Can",2
"503",503,1922,"Draft","Toledo","Tol",1
"504",504,1922,"Draft","Valparaiso","Ham",1
"505",505,1922,"Draft","Virginia Military Institute","Minn",1
"506",506,1922,"Draft","Wabash","Eva",1
"507",507,1922,"Draft","Wabash","Mil",1
"508",508,1922,"Draft","Washington (MO)","Ham",1
"509",509,1922,"Draft","Washington (MO)","RI",1
"510",510,1922,"Draft","Washington & Jefferson","Akr",1
"511",511,1922,"Draft","Washington & Jefferson","Tol",1
"512",512,1922,"Draft","Waynesburg","Col",1
"513",513,1922,"Draft","Wisconsin","Mil",1
"514",514,1922,"Draft","Wisconsin","Rac",2
"515",515,1922,"Draft","Yale","Rac",1
"516",516,1922,"Pro","Akr","Day",1
"517",517,1922,"Pro","Akr","Mil",5
"518",518,1922,"Pro","Akr","Tol",1
"519",519,1922,"Pro","Buf","Col",1
"520",520,1922,"Pro","Buf","GB",1
"521",521,1922,"Pro","Buf","RI",2
"522",522,1922,"Pro","Buf","Tol",2
"523",523,1922,"Pro","Can","Buf",3
"524",524,1922,"Pro","Can","Day",1
"525",525,1922,"Pro","Can","Rac",1
"526",526,1922,"Pro","Can","Tol",4
"527",527,1922,"Pro","Chi","Can",2
"528",528,1922,"Pro","Chi","Day",1
"529",529,1922,"Pro","Chi","Eva",1
"530",530,1922,"Pro","Chi","Ham",1
"531",531,1922,"Pro","Chi","Rac",1
"532",532,1922,"Pro","ChiC","Col",1
"533",533,1922,"Pro","ChiC","Ham",1
"534",534,1922,"Pro","ChiC","Mil",1
"535",535,1922,"Pro","ChiT","Mil",1
"536",536,1922,"Pro","ChiT","Minn",1
"537",537,1922,"Pro","ChiT","Tol",1
"538",538,1922,"Pro","Cle","Akr",1
"539",539,1922,"Pro","Cle","Can",1
"540",540,1922,"Pro","Cle","Day",1
"541",541,1922,"Pro","Cle","Minn",1
"542",542,1922,"Pro","Cle","Oor",2
"543",543,1922,"Pro","Cle","Tol",1
"544",544,1922,"Pro","Col","Tol",1
"545",545,1922,"Pro","Day","Akr",1
"546",546,1922,"Pro","Day","Can",1
"547",547,1922,"Pro","Day","Col",1
"548",548,1922,"Pro","Dec","Rac",1
"549",549,1922,"Pro","Dec","RI",1
"550",550,1922,"Pro","Det","Can",1
"551",551,1922,"Pro","Det","Col",1
"552",552,1922,"Pro","Det","RI",1
"553",553,1922,"Pro","Eva","Chi",1
"554",554,1922,"Pro","Eva","Ham",1
"555",555,1922,"Pro","Eva","Tol",1
"556",556,1922,"Pro","GB","Mil",1
"557",557,1922,"Pro","GB","Rac",1
"558",558,1922,"Pro","GB","RI",1
"559",559,1922,"Pro","Ham","Chi",1
"560",560,1922,"Pro","Ham","Eva",1
"561",561,1922,"Pro","Ham","GB",1
"562",562,1922,"Pro","Ham","Mil",1
"563",563,1922,"Pro","Ham","Rac",1
"564",564,1922,"Pro","Ham","RI",1
"565",565,1922,"Pro","Ham","Tol",1
"566",566,1922,"Pro","Mil","Eva",1
"567",567,1922,"Pro","Mil","Roc",1
"568",568,1922,"Pro","Minn","GB",1
"569",569,1922,"Pro","Mun","Day",1
"570",570,1922,"Pro","Mun","Eva",1
"571",571,1922,"Pro","Mun","Lou",1
"572",572,1922,"Pro","NYBG","Mil",4
"573",573,1922,"Pro","NYBG","Roc",1
"574",574,1922,"Pro","Rac","GB",1
"575",575,1922,"Pro","Rac","Ham",1
"576",576,1922,"Pro","RI","Akr",1
"577",577,1922,"Pro","RI","Buf",1
"578",578,1922,"Pro","RI","Can",1
"579",579,1922,"Pro","RI","Chi",1
"580",580,1922,"Pro","RI","GB",4
"581",581,1922,"Pro","RI","Mil",3
